id,Titel,Artiest,Soort,Formaat,Jaar ,Persing,Staat,KleurVinyl,Code,Label,Aantal,Bijzonderheden
1,Billiards at Nine Thirty ,King Khan & His Shrines,LP,"12""",2004,Germany,Near Mint,Zwart,SOS 055,Sounds of Subterrania,1,Split LP met The Dirtbombs
2,What is ?!,King Khan & His Shrines,LP ,"12""",2007,Germany,Near Mint,Zwart,HAZ048V,Hazelwood,1,
3,Mr. Supernatural,King Khan & His Shrines,LP ,"12""",2004,Germany,Near Mint,Zwart,HAZ 030,Hazelwood,1,Genummerd: 0193
4,Three Hairs and You're Mine,King Khan & His Shrines,LP ,"12""",2001,,Near Mint,Zwart,VR1208,Voodoo Rhythm Records,2,1 exemplaar nog gesealed
5,The Supreme Genius of...,King Khan & His Shrines,2LP,"12""",2008,USA,Near Mint,Zwart,VCA 80005-2,Vice Records,1,
6,Idle No More,King Khan & His Shrines,LP,"12""",2013,USA,Mint,Zwart,MRG486,Merge Records,1,
7,Invisible Girl,The King Khan & BBQ show,LP,"12""",2009,,Near Mint,Zwart,ITR 181,In The Red records,1,
8,The King Khan & BBQ show,The King Khan & BBQ show,2LP,"12""",2007,,Near Mint,Zwart,ITR 147,In The Red records,1,"Kant C: Factory Sessions (7 nummers), kant D: niks"
9,The King Khan & BBQ show,The King Khan & BBQ show,LP,"12""",2005,Germany,Near Mint,Zwart,HAZ 033,Hazelwood,1,Er is ook een versie op Goner Records uit 2005 - volgorde nummers anders
10,What's for Dinner?,The King Khan & BBQ show,LP,"12""",2006,,Near Mint,Zwart,ITR 136,In The Red records,1,"Gesigneerd en betekent door beiden (poep, vrouw met piemel...)"
11,The King Khan & BBQ show,The King Khan & BBQ show,LP,"12""",2005,USA,Good,Zwart,14 GONE,Goner Records,1,"Veel krassen, maar geen invloed op geluid"
12,Teabag Party,The King Khan & BBQ show,EP,"7""",2007,,Near Mint,Zwart,Crypt-098,Crypt records,1,
13,We are the Ocean / Terrapin,The King Khan & BBQ show,Single,"7""",2011,Germany,Mint,Zwart,SLTN704,Sultan Records,1,"Banquet Edition. 650 black, 350 white."
14,Bad News Boys,The King Khan & BBQ show,LP,"12""",2015,USA,Mint,Zwart,ITR-274,In The Red records,1,
15,Curry Up,The Tandoori Knights,LP,"12""",2010,,Near Mint,Zwart,ED 363,Norton Records,1,
16,I hear someone cry,The Tandoori Knights,EP,"7""",2011,,Mint,Zwart,45-172 ,Norton Records,1,
17,Gomper ,The Tandoori Knights,Single,"7""",2010,USA,Near Mint,Zwart,9660,Norton Records,1,Split met the Wrecked Angles
18,Pretty Please / Bucketful,The Tandoori Knights,Single,"7""",2009,USA,Near Mint,Zwart,45-154,Norton Records,1,
19,It's a Lie / Congratulations I'm sorry,King Khan,Single,"7""",2008,,Near Mint,Zwart,45-148,Norton Records,1,
20,Ugly Women! / Run Blacksnake Run,King Khan & His Lonesome Guitar,Single,"7""",2008,Italia,Near Mint,Rood,GB 24-R,Goodbye Boozy records,2,"Binnezijde hoes stempel ""press 150"""
21,The Fiery Tears of St. Laurent / Bon Bon,King Khan & Pat Meteor,Single,"7""",2010,,Near Mint,Zwart,SP-861-7,Sub Pop records,1,Binnenzijde hoes heeft tekst
22,First day of School / I want to sing what I want / +2,Saba Lou & King Khan,Single,"7""",2007,,Near Mint,Geel en rood splatter,RHR023,,1,The recording debut of King Khan's 6 year old daughter. 1000 pressed on yellow/red splattered vinyl.
23,Ali Oop / Vinda Loo,The Bollywood Argyles,Single,"7""",2012,USA,Near mint,Pink,1403,Norton Records,1,
24,Desert Mile / A Strange Hand,King Khan / Jacuzzi Boys,Single,"7""",2008,USA,Near mint,Zwart,FDR-19,Floridas Dying,1,
25,"Have You Seen Your Mother, Baby, Standing In The Shadows?",King Khan And His Wild Dogs Of Kentucky,Single,"7""",2015,USA,Near mint,Zwart,9672,Norton Records,1,"Rolling Stones Cover, split met Arkaics"
